,Wesley Warren Nolte,Victor Pedersen,JS Media GmbH,Mariano Daniel Pardo,Jeppe Kirk Bonde,Martina Del Giorno,Heloise Greeff,Reinhardt Gert Coetzee,Richard Mark Stroud,Kieran Neil Wilinson,Harry Stephan Harrison,Edward Philip Butler,Lena Virginia Birse,Libor Vasa,Teoh Khai Liang,Antonio Emanuele Fasciani,Blue Screen Media ApS,Aaron Wee Chong En,Guillaume Serdan,Can Zhao,SP500
Harry Stephan Harrison,0.664325991395899,0.27187288235913576,0.7281060163274995,0.7467069472211559,0.8343376204869013,0.32598166601791967,0.7359246689939186,0.75102435469326,0.429227679228612,0.5567003311698184,1.0,0.6670029783883554,0.7256941798351193,0.6144617278770325,0.7960279992263605,0.013555328506030456,0.30508540763584985,0.7215422666685628,0.5250385949640506,0.433509313610402,0.6383941188134449
Edward Philip Butler,0.44457485968506816,0.38921669165787803,0.7905585687394827,0.48067009955176376,0.7256232414663734,0.44749049658880097,0.5164980754450877,0.5604324357043091,0.6249323305716629,0.42714223106806903,0.6670029783883554,1.0,0.4590576515720926,0.47381217538614195,0.8046669260564082,0.0764497941298794,0.374988170948127,0.5325863871246146,0.4084103255526375,0.5376192297842416,0.394336381046923
Lena Virginia Birse,0.43103974144531065,0.39737899350568373,0.8213420688394101,0.7606526867949264,0.5383817186433371,0.5135612325559045,0.734635750895071,0.9433878998181939,0.5332354843786233,0.6402175270691297,0.7256941798351193,0.4590576515720926,1.0,0.6107991301040447,0.8413259214499385,0.02347843281246231,0.41876374488397505,0.7559260899451211,0.5767235663755356,0.38187806327381457,0.7414636833387446
Libor Vasa,0.4547409583317652,0.3596484142845779,0.7039236874120259,0.7270935073035686,0.5855249812664586,0.5065717141083329,0.6423832164485277,0.6987019089405272,0.5671928105038819,0.5853932168380119,0.6144617278770325,0.47381217538614195,0.6107991301040447,1.0,0.7391648653307124,0.16015514923030214,0.3477181807157528,0.6737760105277323,0.5050457301744383,0.2732686419618841,0.6849263377028322
Teoh Khai Liang,0.7489219743530472,0.4818967041608365,0.8379237729470089,0.8095866348162977,0.7110498842451477,0.6127157019855511,0.7865352725874261,0.8073009875568542,0.6636379169137793,0.6108327105296296,0.7960279992263605,0.8046669260564082,0.8413259214499385,0.7391648653307124,1.0,0.2392275639121749,0.4342576436461973,0.6959626701689601,0.7959453928930315,0.5522987577067572,0.6824467423499855
Antonio Emanuele Fasciani,0.18770305970553494,0.44349115722390364,0.4209876348220443,0.07777101178653047,0.061886691190452044,0.6429790116472796,0.01549221677892635,0.10746550071157007,0.3087120822158804,0.14562848728466746,0.013555328506030456,0.0764497941298794,0.02347843281246231,0.16015514923030214,0.2392275639121749,1.0,0.07742016917440495,-0.002237214134242346,0.12567447271909216,0.1954897992859285,-0.012950701356288279
Blue Screen Media ApS,0.3995679084459438,0.2542571481773136,0.5801900865727805,0.46223053929800834,0.28543435601706585,0.37162787273037123,0.5040595713646879,0.42084362731848085,0.41000760602694764,0.3028098719690449,0.30508540763584985,0.374988170948127,0.41876374488397505,0.3477181807157528,0.4342576436461973,0.07742016917440495,1.0,0.39713062640114427,0.41134411282215405,0.3801024541853554,0.417519662393558
Aaron Wee Chong En,0.7192840267227031,0.25048893995804067,0.5598716224738545,0.7976450809082166,0.7772430478277615,0.3854710499272245,0.7931727662011192,0.7570948652602231,0.4968567167600738,0.6219618383541515,0.7215422666685628,0.5325863871246146,0.7559260899451211,0.6737760105277323,0.6959626701689601,-0.002237214134242346,0.39713062640114427,1.0,0.50577082402823,0.282134759554219,0.9019568629694228
Guillaume Serdan,0.5390536860358368,0.3526507713348379,0.755969387973294,0.5516858323923642,0.5095715058902219,0.5040357166415924,0.5432858276691307,0.5932583127299033,0.5508566647017497,0.6350006364858396,0.5250385949640506,0.4084103255526375,0.5767235663755356,0.5050457301744383,0.7959453928930315,0.12567447271909216,0.41134411282215405,0.50577082402823,1.0,0.4978985739513889,0.5529408394754165
Can Zhao,0.4265583119386245,0.49145492728116463,0.6381775625195746,0.3563665508399104,0.42017267023383914,0.5311995023975358,0.40980425527566744,0.417295144678287,0.44937932423163385,0.4989594275685307,0.433509313610402,0.5376192297842416,0.38187806327381457,0.2732686419618841,0.5522987577067572,0.1954897992859285,0.3801024541853554,0.282134759554219,0.4978985739513889,1.0,0.24842020569421985
SP500,0.4744765837369669,0.18543279755492967,0.5684002240031267,0.6591103452448573,0.6271491361195434,0.28540573709997674,0.7485438655717422,0.7493695822067208,0.46369134356939123,0.5793951939839138,0.6383941188134449,0.394336381046923,0.7414636833387446,0.6849263377028322,0.6824467423499855,-0.012950701356288279,0.417519662393558,0.9019568629694228,0.5529408394754165,0.24842020569421985,1.0
